Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT211304,Aurora Patel,Maya Lopez,Mercury Air Cargo,Mercury Air Cargo,Other,235392,LEX,N95 Mask,GUA,No,No,No,No,No,Kentucky,Guatemala,Guatemala,2021-03-12T18:24:13.016Z,Cancel
MAT235862,Blake Garcia,Ethan Wright,Lufthansa Cargo,Lufthansa Cargo / JFK *,General,260316,ORD,"Mining Machine
(W/O BATTERY)
(NOT RESTRICTED. NO EXPORT LICENSE IS REQUIRED)

73 Plts=1720 ctns",ALA,No,No,No,No,No,Illinois,Almaty,Kazakhstan,2023-09-06T11:33:40.058Z,Completed
MAT241685,Riley Bennett,Penelope Brooks,Turkish Airlines,Turkish Airlines / JFK*,Other,311046,DFW,"Oilwell Tools

",DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-03-13T21:01:39.929Z,Released
MAT217565,Evelyn Williams,Liam Hernandez,Lufthansa Cargo,Lufthansa Cargo *,Other,199851,JFK,Tuberculin Syringes with needles ,KGL,No,No,No,No,No,New York,Kigali City,Rwanda,2021-12-14T19:14:55.832Z,Cancel
MAT240116,Lucas Thompson,Evelyn Jones,Turkish Airlines,Turkish Airlines / JFK*,General,114866,SFO,"E-LIQUID
",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2024-01-05T13:52:42.061Z,Released
MAT242685,Riley Bennett,Penelope Brooks,Cargolux,Cargolux / SFO *,General,176648,DFW,Oilwell Tools,DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-04-23T18:13:57.750Z,Invoiced
MAT242686,Riley Bennett,Penelope Brooks,Cargolux,Cargolux / SFO *,General,274404,DFW,Oilwell Tools,DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-04-23T18:22:38.930Z,Invoiced
MAT241216,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,249428,IAD,Cosmetic,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2024-02-22T22:59:32.694Z,Released
MAT241374,Lucas Thompson,Ava Garcia,British Airways,British Airways / SFO *,General,241354,PHL,ESSENTIAL OILS,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2024-03-01T11:49:08.450Z,Released
MAT240407,Ethan Baker,Michael Miller,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,275103,ORD,"Brilliantly Brightening Cleansing Gel - 118ml, Radically Rejuvenating Eye Cream -30 ml, Brightening Body Scrub, Ultra Hydrating Conditioner - Argan, Dry Shampoo - All Hair Types- 48 g",RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2024-01-19T15:58:44.021Z,Released
MAT236256,Maya Davis,Ava Garcia,Turkish Airlines,Turkish Airlines / JFK*,General,222070,ATL," 9 HA01 FN ASSY
IMPORT HS#:-8411999085
COO :- FR
ECCN#:- EAR99 
/ Non-Stackable",LHE,No,No,No,No,No,Georgia,Punjab,Pakistan,2023-09-22T18:15:59.256Z,Completed
MAT203430,Chloe Anderson,Maya Lopez,Turkish Airlines,Turkish Airlines/JFK *,Other,138821,JFK,General Cargo,BOM,No,No,No,No,No,New York,Maharashtra,India,2020-12-22T15:06:00.248Z,Completed
MAT238000,Ethan Baker,Michael Miller,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,56209,ORD,Brilliantly Brightening Facial Scrub,RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2023-12-14T19:31:00.154Z,Released
MAT237650,Blake Garcia,Sophia Thomas,Turkish Airlines,Turkish Airlines / JFK*,General,75538,SFO,Shampoo and Conditioner,DEL,No,No,No,No,No,California,Punjab,India,2023-12-01T11:29:08.992Z,Completed
MAT241449,Lucas Thompson,Noah Patel,British Airways,British Airways / SFO *,General,260621,CVG,PERSONAL CARE PRODUCT,AMS,No,No,No,No,No,Kentucky,Noord-Holland,Netherlands,2024-03-05T09:45:44.533Z,Released
MAT236202,Maya Davis,Noah Patel,Etihad Airways,Etihad Airways / LAX *,General,149529,ORD,"CARAMEL FLAVOR POWDER, 29.44019
CARAMEL FLAVOR POWDER, 29.45461",MNL,No,No,No,No,No,Illinois,Metro Manila,Philippines,2023-09-20T21:05:50.882Z,Completed
MAT217088,Aurora Patel,Liam Hernandez,Allied Air Cargo,Allied Air Cargo C/o Network Cargo *,Other,308191,IAH,POLYCLAR 10 DRUM 19.96KG INRT 1 Country of origin - USA NON-HAZARDOUS MATERIAL,LOS,No,No,No,No,No,Texas,Anambra,Nigeria,2021-11-23T21:27:36.724Z,Completed
MAT220539,Aurora Patel,Liam Hernandez,United Airlines Cargo,United Airlines Cargo / ORD *,Other,117925,IAH,Raw Material,LOS,No,No,No,No,No,Texas,Anambra,Nigeria,2022-01-26T18:16:36.223Z,Completed
MAT232421,Alexander Young,William Johnson,Kuwait Airways,Kuwait Airways,General,149190,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-04-05T19:42:47.287Z,Completed
MAT240463,Riley Bennett,Penelope Brooks,Cargolux,Cargolux / SFO *,General,128389,DFW,Oilwell Tools,DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-01-23T11:19:19.736Z,Released
MAT240853,Riley Bennett,Penelope Brooks,Turkish Airlines,Turkish Airlines / JFK*,General,204211,DFW,"Oilwell Tools

",DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-02-07T15:14:02.200Z,Released
MAT241047,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,162919,IAD,General cargo,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2024-02-15T12:53:37.438Z,Released
MAT225639,Evelyn Martin,Isabella Hernandez,Turkish Airlines,Turkish Airlines/JFK *,General,175406,IAH,Essential Oil,DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2022-10-03T21:32:43.249Z,Completed
MAT236318,Maya Davis,Noah Patel,Etihad Airways,Etihad Airways / LAX *,General,207979,ORD,"CARAMEL FLAVOR POWDER, 29.44019
CARAMEL FLAVOR POWDER, 29.45461",MNL,No,No,No,No,No,Illinois,Metro Manila,Philippines,2023-09-26T15:09:31.888Z,Completed
MAT234834,Ethan Baker,Sophia Thomas,GULF AIR,GULF AIR / JFK *,General,161269,SEA,"Laryngoscope Accessories

",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2023-07-19T14:31:41.363Z,Completed
MAT237217,Maya Davis,Noah Patel,Turkish Airlines,Turkish Airlines / JFK*,General,239481,SFO,"E-Liquids

",AMM,No,No,No,No,No,California,Amman,Jordan,2023-11-08T23:09:34.270Z,Completed
MAT236139,Maya Davis,James Moore,British Airways,British Airways / SFO *,Other,288004,PHL,E-Liquid,DXB,No,Yes,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2023-09-18T18:25:29.312Z,Completed
MAT231535,Alexander Young,William Johnson,Kuwait Airways,Kuwait Airways,General,24431,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-03-06T15:30:38.075Z,Completed
MAT237980,Lucas Thompson,Evelyn Jones,British Airways,British Airways / SFO *,Other,186324,CVG,"HA Laminating Film
",BOM,No,No,No,No,No,Kentucky,Maharashtra,India,2023-12-14T17:13:46.510Z,Released
MAT237435,Maya Davis,Ava Garcia,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,272573,IAD,cosmetics ,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2023-11-21T00:26:44.589Z,Completed
